 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2025 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
4
#Number of plot points
100
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
power_avg,tpd_max_cout,tpd_max_s8,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-7.236152e-05,2.470507e-09,3.700179e-10,1.058122,0.7403934,1.388017
-7.23182e-05,2.470662e-09,3.702562e-10,1.103063,0.7793106,1.440422
-6.816248e-05,2.479057e-09,3.820722e-10,1.150349,0.8198403,1.496174
-6.719215e-05,2.481137e-09,3.849782e-10,1.200359,0.862212,1.555873
-6.668095e-05,2.482348e-09,3.865301e-10,1.253565,0.906707,1.620293
-6.635203e-05,2.482948e-09,3.875235e-10,1.310579,0.9536756,1.690461
-6.573238e-05,2.4842e-09,3.892477e-10,1.372204,1.003563,1.767773
-6.534524e-05,2.485022e-09,3.902466e-10,1.439531,1.056949,1.854204
-6.466217e-05,2.486795e-09,3.925583e-10,1.514102,1.114608,1.952672
-6.440197e-05,2.487325e-09,3.93357e-10,1.598193,1.177617,2.067749
-6.364289e-05,2.489006e-09,3.95835e-10,1.695398,1.247538,2.207206
-6.119699e-05,2.495064e-09,4.048711e-10,1.811911,1.326787,2.385831
-5.727011e-05,2.505634e-09,4.194891e-10,1.959964,1.419425,2.63727
-5.582299e-05,2.509862e-09,4.25517e-10,2.17009,1.53326,3.066998
-4.647478e-05,2.54299e-09,4.720927e-10,2.575829,1.687237,4.421625
